,goals_for,goals_against,team,game_id
5587,1.0,1.0,Olympique de Marseille,558
5588,0.0,3.0,Olympique de Marseille,558
5589,1.0,0.0,Olympique de Marseille,558
5590,2.0,1.0,Amiens SCF,559
5591,1.0,2.0,Amiens SCF,559
5592,2.0,0.0,Amiens SCF,559
5593,2.0,1.0,Amiens SCF,559
5594,0.0,2.0,Amiens SCF,559
5595,1.0,2.0,FC Nantes,559
5596,1.0,1.0,FC Nantes,559
5597,1.0,0.0,FC Nantes,559
5598,2.0,1.0,FC Nantes,559
5599,4.0,1.0,FC Nantes,559
5600,1.0,0.0,Angers SCO,560
5601,1.0,1.0,Angers SCO,560
5602,1.0,0.0,Angers SCO,560
5603,1.0,2.0,Angers SCO,560
5604,3.0,0.0,Angers SCO,560
5605,4.0,0.0,Dijon FCO,560
5606,3.0,2.0,Dijon FCO,560
5607,2.0,1.0,Dijon FCO,560
5608,3.0,1.0,Dijon FCO,560
5609,3.0,1.0,Dijon FCO,560
5610,2.0,0.0,FC Girondins de Bordeaux,561
5611,0.0,3.0,FC Girondins de Bordeaux,561
5612,3.0,2.0,FC Girondins de Bordeaux,561
5613,3.0,0.0,FC Girondins de Bordeaux,561
5614,1.0,0.0,FC Girondins de Bordeaux,561
5615,4.0,1.0,Montpellier-HSC,561
5616,1.0,1.0,Montpellier-HSC,561
5617,1.0,1.0,Montpellier-HSC,561
5618,0.0,0.0,Montpellier-HSC,561
5619,3.0,0.0,Montpellier-HSC,561
5620,4.0,0.0,EA Guingamp,562
5621,0.0,1.0,EA Guingamp,562
5622,0.0,0.0,EA Guingamp,562
5623,1.0,0.0,EA Guingamp,562
5624,1.0,1.0,EA Guingamp,562
5625,3.0,0.0,AS Saint-Etienne,562
5626,1.0,1.0,AS Saint-Etienne,562
5627,3.0,0.0,AS Saint-Etienne,562
5628,2.0,2.0,AS Saint-Etienne,562
5629,3.0,1.0,AS Saint-Etienne,562
5630,1.0,1.0,Lille OSC,563
5631,3.0,1.0,Lille OSC,563
5632,1.0,0.0,Lille OSC,563
5633,1.0,2.0,Lille OSC,563
5634,3.0,0.0,Lille OSC,563
5635,1.0,1.0,OGC Nice,563
5636,1.0,2.0,OGC Nice,563
5637,1.0,0.0,OGC Nice,563
5638,3.0,1.0,OGC Nice,563
5639,1.0,2.0,OGC Nice,563
5640,2.0,2.0,Olympique de Marseille,564
5641,3.0,0.0,Olympique de Marseille,564
5642,0.0,0.0,Olympique de Marseille,564
5643,1.0,1.0,Olympique de Marseille,564
5644,0.0,3.0,Olympique de Marseille,564
5645,3.0,2.0,ES Troyes AC,564
5646,0.0,1.0,ES Troyes AC,564
5647,2.0,0.0,ES Troyes AC,564
5648,3.0,0.0,ES Troyes AC,564
5649,3.0,1.0,ES Troyes AC,564
5650,1.0,0.0,FC Metz,565
5651,1.0,1.0,FC Metz,565
5652,3.0,1.0,FC Metz,565
5653,0.0,3.0,FC Metz,565
5654,0.0,2.0,FC Metz,565
5655,2.0,4.0,RC Strasbourg,565
5656,0.0,3.0,RC Strasbourg,565
5657,2.0,1.0,RC Strasbourg,565
5658,0.0,0.0,RC Strasbourg,565
5659,2.0,2.0,RC Strasbourg,565
5660,2.0,0.0,AS Monaco,566
5661,3.0,2.0,AS Monaco,566
5662,2.0,1.0,AS Monaco,566
5663,5.0,2.0,AS Monaco,566
5664,1.0,0.0,AS Monaco,566
5665,2.0,2.0,Stade Rennais FC,566
5666,1.0,1.0,Stade Rennais FC,566
5667,2.0,0.0,Stade Rennais FC,566
5668,1.0,2.0,Stade Rennais FC,566
5669,2.0,1.0,Stade Rennais FC,566
5670,2.0,4.0,Paris Saint-Germain FC,567
5671,3.0,1.0,Paris Saint-Germain FC,567
5672,3.0,1.0,Paris Saint-Germain FC,567
5673,3.0,1.0,Paris Saint-Germain FC,567
5674,2.0,1.0,Paris Saint-Germain FC,567
5675,2.0,0.0,Stade Malherbe Caen,567
5676,2.0,0.0,Stade Malherbe Caen,567
5677,1.0,2.0,Stade Malherbe Caen,567
5678,0.0,0.0,Stade Malherbe Caen,567
5679,1.0,0.0,Stade Malherbe Caen,567
5680,2.0,0.0,Toulouse FC,568
5681,2.0,0.0,Toulouse FC,568
5682,1.0,0.0,Toulouse FC,568
5683,1.0,2.0,Toulouse FC,568
5684,3.0,1.0,Toulouse FC,568
5685,4.0,1.0,Olympique Lyonnais,568
5686,1.0,2.0,Olympique Lyonnais,568
5687,1.0,0.0,Olympique Lyonnais,568
5688,1.0,2.0,Olympique Lyonnais,568
5689,1.0,2.0,Olympique Lyonnais,568
5690,2.0,1.0,RC Strasbourg,569
5691,2.0,4.0,RC Strasbourg,569
5692,0.0,3.0,RC Strasbourg,569
5693,2.0,1.0,RC Strasbourg,569
5694,0.0,0.0,RC Strasbourg,569
5695,0.0,0.0,EA Guingamp,569
5696,4.0,0.0,EA Guingamp,569
5697,0.0,1.0,EA Guingamp,569
5698,0.0,0.0,EA Guingamp,569
5699,1.0,0.0,EA Guingamp,569
5700,2.0,1.0,Stade Rennais FC,570
5701,1.0,4.0,Stade Rennais FC,570
5702,2.0,2.0,Stade Rennais FC,570
5703,1.0,1.0,Stade Rennais FC,570
5704,2.0,0.0,Stade Rennais FC,570
5705,2.0,0.0,Olympique de Marseille,570
5706,2.0,2.0,Olympique de Marseille,570
5707,3.0,0.0,Olympique de Marseille,570
5708,0.0,0.0,Olympique de Marseille,570
5709,1.0,1.0,Olympique de Marseille,570
5710,0.0,0.0,Stade Malherbe Caen,571
5711,2.0,0.0,Stade Malherbe Caen,571
5712,2.0,0.0,Stade Malherbe Caen,571
5713,1.0,2.0,Stade Malherbe Caen,571
5714,0.0,0.0,Stade Malherbe Caen,571
5715,3.0,0.0,Lille OSC,571
5716,1.0,1.0,Lille OSC,571
5717,3.0,1.0,Lille OSC,571
5718,1.0,0.0,Lille OSC,571
5719,1.0,2.0,Lille OSC,571
5720,3.0,0.0,Dijon FCO,572
5721,4.0,0.0,Dijon FCO,572
5722,3.0,2.0,Dijon FCO,572
5723,2.0,1.0,Dijon FCO,572
5724,3.0,1.0,Dijon FCO,572
5725,1.0,3.0,FC Metz,572
5726,1.0,0.0,FC Metz,572
5727,1.0,1.0,FC Metz,572
5728,3.0,1.0,FC Metz,572
5729,0.0,3.0,FC Metz,572
5730,0.0,2.0,Montpellier-HSC,573
5731,1.0,3.0,Montpellier-HSC,573
5732,4.0,1.0,Montpellier-HSC,573
5733,1.0,1.0,Montpellier-HSC,573
5734,1.0,1.0,Montpellier-HSC,573
5735,2.0,1.0,AS Monaco,573
5736,0.0,4.0,AS Monaco,573
5737,2.0,0.0,AS Monaco,573
5738,3.0,2.0,AS Monaco,573
5739,2.0,1.0,AS Monaco,573
