,name,position,team,game_id,player_id
469,Traore,FW,Olympique Lyonnais,21,67484
470,Fekir,AM,Olympique Lyonnais,21,82010
471,Depay,FW,Olympique Lyonnais,21,68281
472,Mariano,FW,Olympique Lyonnais,21,89032
473,Costil,XX,FC Girondins de Bordeaux,21,11144
474,Sabaly,DF,FC Girondins de Bordeaux,21,80337
475,Toulalan,DM,FC Girondins de Bordeaux,21,1117
476,Jovanović,DF,FC Girondins de Bordeaux,21,101649
477,Pellenard,DF,FC Girondins de Bordeaux,21,85644
478,Vada,MF,FC Girondins de Bordeaux,21,107096
479,Lerager,MF,FC Girondins de Bordeaux,21,80963
480,Sankharé,MF,FC Girondins de Bordeaux,21,11617
481,Malcom,FW,FC Girondins de Bordeaux,21,89633
482,Mendy,FW,FC Girondins de Bordeaux,21,103919
483,Kamano,FW,FC Girondins de Bordeaux,21,93209
484,Lecomte,XX,Montpellier-HSC,22,51234
485,Mukiele,DF,Montpellier-HSC,22,106875
486,Pedro Mendes,DF,Montpellier-HSC,22,66639
487,Congré,DF,Montpellier-HSC,22,5791
488,Aguilar,DF,Montpellier-HSC,22,103583
489,Píriz,DM,Montpellier-HSC,22,32028
490,Lasne,MF,Montpellier-HSC,22,38560
491,Mbenza,FW,Montpellier-HSC,22,103641
492,Sessegnon,AM,Montpellier-HSC,22,2844
493,Bérigaud,FW,Montpellier-HSC,22,50852
494,Sio,FW,Montpellier-HSC,22,44772
495,Kamara,XX,RC Strasbourg,22,103904
496,Lala,DF,RC Strasbourg,22,62191
497,Mangane,DF,RC Strasbourg,22,12283
498,Salmier,DF,RC Strasbourg,22,110491
499,Martínez,DF,RC Strasbourg,22,81774
500,Aholou,DM,RC Strasbourg,22,85538
501,Martin,MF,RC Strasbourg,22,51194
502,Gonçalves,MF,RC Strasbourg,22,41211
503,Corgnet,AM,RC Strasbourg,22,50881
504,Sacko,FW,RC Strasbourg,22,110492
505,Saadi,FW,RC Strasbourg,22,46170
506,Cardinale,XX,OGC Nice,23,85513
507,Souquet,DF,OGC Nice,23,41303
508,Dante,DF,OGC Nice,23,9099
509,Le Marchand,DF,OGC Nice,23,41029
510,Jallet,DF,OGC Nice,23,2623
511,Tameze Aoutsa,DM,OGC Nice,23,77757
512,Seri,MF,OGC Nice,23,83642
513,Walter,DM,OGC Nice,23,77898
514,Sneijder,AM,OGC Nice,23,841
515,Lees-Melou,MF,OGC Nice,23,103598
516,Pléa,FW,OGC Nice,23,65937
517,Johnsson,XX,EA Guingamp,23,27032
518,Ikoko,DF,EA Guingamp,23,82743
519,Kerbrat,DF,EA Guingamp,23,61035
520,Sorbon,DF,EA Guingamp,23,11153
521,Rebocho,DF,EA Guingamp,23,101269
522,Phiri,DM,EA Guingamp,23,78818
523,Didot,MF,EA Guingamp,23,2658
524,Déaux,DM,EA Guingamp,23,22343
525,Camara,FW,EA Guingamp,23,35129
526,Briand,FW,EA Guingamp,23,2663
527,Blas,MF,EA Guingamp,23,106708
528,Diallo,XX,Stade Rennais FC,24,42884
529,Traoré,DF,Stade Rennais FC,24,88262
530,Mexer,DF,Stade Rennais FC,24,43846
531,Gnagnon,DF,Stade Rennais FC,24,106299
532,Bensebaini,DF,Stade Rennais FC,24,95735
533,Amalfitano,MF,Stade Rennais FC,24,2796
534,Bourigeaud,MF,Stade Rennais FC,24,90571
535,André,MF,Stade Rennais FC,24,28214
536,Maouassa,FW,Stade Rennais FC,24,103902
537,Mubele,FW,Stade Rennais FC,24,98243
538,Sarr,FW,Stade Rennais FC,24,111005
539,Reynet,XX,Dijon FCO,24,62178
