,name,age,position,ovr_rating,pot_rating
21,Didier Ya Konan,30,STRM,77,77
22,Youssouf Mulumbu,27,CDMCM,77,79
23,Milan Biševac,31,CB,77,77
24,Chico,27,CB,77,78
25,Martin Harnik,27,RMRW,77,79
26,Kiko Casilla,27,GK,77,80
27,Benoît Trémoulinas,28,LB,77,77
28,Serdar Tasci,27,CB,77,80
29,Piet Velthuizen,27,GK,77,78
0,Mossoró,31,CAMLM,77,77
1,Marcus Berg,28,STCF,77,77
2,Pontus Wernbloom,28,CDM,77,79
3,Cristian Ansaldi,27,LB,77,80
4,Siqueira,28,LB,77,79
5,Carlos Martinez,28,RB,77,80
6,Diego Valeri,28,CAMRM,77,77
7,Diego Capel,26,LWRW,77,81
8,Darron Gibson,26,CMCDM,77,80
9,Kenneth Vermeer,28,GK,77,78
10,Rafinha,29,RB,77,77
11,Salvatore Bocchetti,27,CB,77,80
12,Ignazio Abate,27,RBRM,77,82
13,Cássio,27,GK,77,81
14,Patrick Helmes,30,ST,77,77
15,Jonathan,28,RMRB,77,79
16,Adam Johnson,27,RMLM,77,80
17,Fernando Gago,28,CMCDM,77,80
18,Itumeleng Khune,27,GK,77,82
19,Marcell Jansen,28,LBLM,77,78
20,Graziano Pellè,29,ST,77,77
21,Adriano,29,LBRBCB,77,77
22,Geoffrey Jourdren,28,GK,77,77
23,Stéphane Sessègnon,30,CAMCFRM,77,77
24,Jérémy Clément,30,CDM,77,77
